,author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,review_fulltext,abstract
639,"Ndlovu, L.N. and Peetluk, L. and Moodley, S. and Nhamoyebonde, S. and Ngoepe, A.T. and Mazibuko, M. and Khan, K. and Karim, F. and Pym, A.S. and Maruri, F. and Moosa, M.-Y.S. and van der Heijden, Y.F. and Sterling, T.R. and Leslie, A.",Frontiers in Immunology,2020,Article,10.3389/fimmu.2020.01872,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090821507&doi=10.3389%2ffimmu.2020.01872&partnerID=40&md5=c2a2653649dc7633819c4575d757e981,32983107,blood neutrophil count;  neutrophil phenotype;  tuberculosis biomarker;  tuberculosis disease severity;  tuberculosis treatment outcome,NA,"CD15 antigen;  ethambutol;  isoniazid;  pyrazinamide;  rifampicin, adolescent;  adult;  antiretroviral therapy;  Article;  bacterial load;  blood cell count;  blood sampling;  CD4 lymphocyte count;  cell isolation;  child;  cohort analysis;  controlled study;  disease severity;  human;  human cell;  Human immunodeficiency virus infection;  longitudinal study;  major clinical study;  mixed infection;  neutrophil count;  neutrophil lymphocyte ratio;  phenotype;  thorax radiography;  treatment outcome;  treatment response;  tuberculosis",NA,Increased Neutrophil Count and Decreased Neutrophil CD15 Expression Correlate With TB Disease Severity and Treatment Response Irrespective of HIV Co-infection,0,"Tuberculosis remains a leading cause of death globally despite curative treatment, partly due to the difficulty of identifying patients who will not respond to therapy. Simple host biomarkers that correlate with response to drug treatment would facilitate improvement in outcomes and the evaluation of novel therapies. In a prospective longitudinal cohort study, we evaluated neutrophil count and phenotype at baseline, as well as during TB treatment in 79 patients [50 (63%) HIV-positive] with microbiologically confirmed drug susceptible TB undergoing standard treatment. At time of diagnosis, blood neutrophils were highly expanded and surface expression of the neutrophil marker CD15 greatly reduced compared to controls. Both measures changed rapidly with the commencement of drug treatment and returned to levels seen in healthy control by treatment completion. Additionally, at the time of diagnosis, high neutrophil count, and low CD15 expression was associated with higher sputum bacterial load and more severe lung damage on chest x-ray, two clinically relevant markers of disease severity. Furthermore, CD15 expression level at diagnosis was associated with TB culture conversion after 2 months of therapy (OR: 0.14, 95% CI: 0.02, 0.89), a standard measure of early TB treatment success. Importantly, our data was not significantly impacted by HIV co-infection. These data suggest that blood neutrophil metrics could potentially be exploited to develop a simple and rapid test to help determine TB disease severity, monitor drug treatment response, and identify subjects at diagnosis who may respond poorly to treatment.  Copyright  2020 Ndlovu, Peetluk, Moodley, Nhamoyebonde, Ngoepe, Mazibuko, Khan, Karim, Pym, Maruri, Moosa, van der Heijden, Sterling and Leslie."
640,"Wen, Y. and Zhu, Y. and Gong, Z. and Shu, M. and Wan, C.",Paediatrics and International Child Health,2020,Article,10.1080/20469047.2019.1639010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068616840&doi=10.1080%2f20469047.2019.1639010&partnerID=40&md5=ec64699280c1c83b39a0aa7852c0e550,31271116,paediatric;  tuberculous empyema,NA,"C reactive protein;  ethambutol plus isoniazid plus pyrazinamide plus rifampicin;  hemoglobin;  isoniazid plus rifampicin, acid fast bacterium;  Article;  atelectasis;  BCG vaccination;  calcification;  case report;  child;  China;  clinical article;  computer assisted tomography;  debridement;  decortication;  erythrocyte sedimentation rate;  follow up;  hemoglobin blood level;  histopathology;  human;  interferon gamma release assay;  kidney function test;  leukocyte count;  liver function test;  male;  mediastinum lymphadenopathy;  Mycobacterium tuberculosis;  neutrophil count;  nutritional status;  physical examination;  platelet count;  pleura effusion;  polymerase chain reaction;  protein blood level;  school child;  serology;  sputum culture;  thoracotomy;  thorax deformity;  thorax radiography;  tuberculin test;  tuberculous empyema;  weakness",NA,Chronic tuberculous empyema in an 8-year-old boy,0,"Mycobacterium tuberculosis (MTB) as a causative organism of empyema thoracis is rare, especially in children. An 8-year-old boy with tuberculous empyema and no history of contact with tuberculosis presented with minimal symptoms other than mild deformity of the chest wall. He had been vaccinated with bacillus CalmetteGurin. A chest CT scan demonstrated intrathoracic lymphadenopathy, thickened and calcified pleural rind and rib thickening adjacent to the empyema. The diagnosis was confirmed by post-operative histopathological examination, positive acid-fast stains and DNA PCR. In countries with a high burden of tuberculosis, MTB should be considered in the differential diagnosis of empyema despite minimal symptoms.  2019,  2019 Informa UK Limited, trading as Taylor & Francis Group."
641,"Saber, A. and Fakhrabadi, M.H. and Khodaparast, M. and Bazyar, S.","Iranian Journal of Obstetrics, Gynecology and Infertility",2020,Article,10.22038/IJOGI.2020.15558,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088705034&doi=10.22038%2fIJOGI.2020.15558&partnerID=40&md5=add88fe73f8a796682b8c32114f46c9e,NA,Encephalitis;  Herpes simplex;  Pregnancy,NA,"aciclovir;  magnesium sulfate, adult;  Article;  case report;  cerebrospinal fluid analysis;  clinical article;  confusion;  disorientation;  dysphoria;  eclampsia;  electroencephalography;  female;  fever;  headache;  herpes simplex encephalitis;  human;  nausea;  nuclear magnetic resonance imaging;  proteinuria;  second trimester pregnancy;  tonic clonic seizure;  unconsciousness;  vomiting",NA,A case report of successful treatment of herpes encephalitis in second trimester of pregnancy,0,"Introduction: Herpes encephalitis is a neurological emergency disorder. In this paper, a case of sporadic herpes encephalitis in a pregnant woman at 26 weeks of gestation was reported. Case presentation: The patient was a 30-year-old pregnant woman with gestational age of 26 weeks that due to decreased consciousness, confusion, failure to answer questions, disorientation, nausea and vomiting, headache on both sides of the temporal region and Dysphoria was admitted in gynecology ward of Bojnourd Bentolhoda Hospital. On admission, vital signs and oxygen saturation were normal. Magnesium sulfate was administered because of suspected neurological symptoms of eclampsia and proteinuria. Brain MRI was performed after 8 hours due to fever, continued disturbance of consciousness and generalized tonic-clonic seizure that bilateral involvement of the temporal and left frontal areas was evident. Electroencephalogram (EEG) showed Sharps waves in the left frontal, which was consistent with seizure disorder. Intravenous acyclovir was administered after convulsions and exacerbation of neurological symptoms. Polymerase chain reaction (PCR) for detection of Mycobacterium tuberculosis complex, Herpes simplex virus 1 and Brucella in Cerebrospinal Fluid was negative. Level of Protein, leukocytes and RBC was increased in CSF analysis. Blood cultures and serum tests for brucellosis (2-mercaptomethanol and Wright's agglutination test) were negative. PCR was not repeated because of the patient's dissatisfaction. According to the results of laboratory tests, brain MRI and EEG, diagnosis of herpes simplex encephalitis was suggested. The patient improved and was discharged after 14 days of hospitalization. Healthy baby was born by vaginal delivery at 39 weeks of gestation. Conclusion: In the event of neurological symptoms in pregnant women (headache, dizziness, and altered consciousness), an urgent consultation with a neurologist is required to rule out other differential life-threatening diagnoses other than eclampsia such as herpes simplex encephalitis. Since there is no specific guideline for management of viral encephalitis in pregnancy, guidelines designed for non-pregnant women are recommended in these cases.  2020, Mashhad University of Medical Sciences. All rights reserved."
642,"Katoto, P.D.M.C. and Musole, P. and Maheshe, G. and Bamuleke, B. and Murhula, A. and Balungwe, P. and Byamungu, L.N.",Respiratory Medicine Case Reports,2020,Article,10.1016/j.rmcr.2020.101234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093082165&doi=10.1016%2fj.rmcr.2020.101234&partnerID=40&md5=51e9a7dc5988f1fb30838da296025345,NA,Complication;  Democratic republic of Congo;  Mycobacterium tuberculosis;  Thoracic surgery,NA,"clofazimine;  cotrimoxazole;  ethambutol;  isoniazid;  kanamycin;  moxifloxacin;  niobium;  protionamide;  pyrazinamide;  rifampicin;  streptomycin;  tantalum;  tuberculostatic agent, abnormal respiratory sound;  acid fast bacterium;  acute respiratory failure;  adult;  Article;  artisanal miner;  audiometry;  bacterial colonization;  bilateral hearing loss;  blood stain;  case report;  chemotherapy;  chronic pulmonary aspergillosis;  clinical article;  clinical effectiveness;  compliance (physical);  coughing;  death;  Democratic Republic Congo;  disease burden;  drug megadose;  dullness;  dyspnea;  early diagnosis;  eosinophilia;  fever;  first aid;  hemoptysis;  human;  infection complication;  lethality;  leukocytosis;  lung cavity;  lung fibrosis;  lung fluid;  lung injury;  male;  miner;  multidrug resistant tuberculosis;  patient transport;  perception deafness;  percussion;  priority journal;  religious personnel;  self medication;  sputum culture;  symptomatology;  tactile fremitus;  therapy delay;  thorax radiography;  thorax surgery;  traditional healer;  treatment duration",NA,A miner with No left lung: Extensive pulmonary destruction in delayed effective Multi-Drug-Resistant Tuberculosis treatment,0,"We report a case of extensive pulmonary destruction due to delayed effective pulmonary tuberculosis (TB) treatment in an adult artisanal miner in eastern Democratic Republic of Congo. Xpert MTB/RIF was positive after his second rifampicin-susceptible TB treatment. Chest X-rays were suggestive of large cavity, fibrosis of remaining lung and air-fluid levels at the base of the destroyed lung. The patient passed away after delayed effective TB regimens. Clinicians should be aware that urgent surgical intervention is often required to prevent lethal acute respiratory failure and shock notwithstanding effective chemotherapy in such condition. Effort is needed to timely diagnose multidrug resistance TB and to implement thoracic surgery for TB in high burden countries.  2020 The Author(s)"
643,"Caramori, G. and Artioli, D. and Ferrara, G. and Cazzuffi, R. and Pasquini, C. and Libanore, M. and Guardigni, V. and Guzzinati, I. and Contoli, M. and Rossi, R. and Rinaldi, R. and Contini, C. and Papi, A.",Monaldi Archives for Chest Disease - Pulmonary Series,2013,Article,10.4081/monaldi.2013.109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878270464&doi=10.4081%2fmonaldi.2013.109&partnerID=40&md5=26cc9107a04a364aff771c069382c754,23741946,Bacilllus Calmette-Gurin (BCG) immunotherapy;  Bladder carcinoma;  CAP;  Pneumonia,NA,"amikacin;  BCG vaccine;  ceftazidime;  ceftriaxone;  ciprofloxacin;  clarithromycin;  ethambutol;  isoniazid;  levofloxacin;  methylprednisolone;  pyrazinamide;  rifabutin;  rifampicin;  streptomycin;  amikacin;  BCG vaccine;  ceftazidime;  ciprofloxacin;  clarithromycin;  ethambutol;  isoniazid;  levofloxacin;  methylprednisolone;  pyrazinamide;  rifabutin;  streptomycin, acute respiratory failure;  aged;  alanine aminotransferase blood level;  antibiotic therapy;  article;  bladder cancer;  case report;  community acquired pneumonia;  computer assisted tomography;  disease severity;  drug withdrawal;  dyspnea;  fever;  fiberoptic bronchoscopy;  gamma glutamyl transferase blood level;  hematuria;  human;  lung embolism;  lung lavage;  male;  respiratory alkalosis;  side effect;  thorax radiography;  transbronchial biopsy;  Article;  bacterial genome;  bladder biopsy;  bladder cancer;  cancer recurrence;  community acquired pneumonia;  crackle;  drug substitution;  dysuria;  hepatomegaly;  human tissue;  kidney cyst;  liver cyst;  liver disease;  Mycobacterium bovis BCG;  Mycobacterium tuberculosis;  real time polymerase chain reaction;  treatment duration;  tumor invasion",NA,Severe pneumonia after intravesical BCG instillation in a patient with invasive bladder cancer: Case report and literature review,0,We present here the case of a 66 year old man with a severe bilateral community acquired pneumonia secondary to dissemination after an intravesical instillation of bacilllus Calmette-Gurin (BCG). Diagnosis was based on positive polymerase chain reaction (PCR) for mycobacterium tuberculosis complex in bronchoalveolar lavage and on the finding on transbronchial biopsy of non necrotising granulomas histopathologically similar to the granulomas found in bladder biopsies. These findings were confirmed using a validated real time PCR assay demonstrating the presence of the BCG genome in transbronchial and bladder biopsies.
644,"Hashmi, H.R.T. and Mishra, R. and Niazi, M. and Venkatram, S. and Diaz-Fuentes, G.",American Journal of Case Reports,2017,Article,10.12659/AJCR.903990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023739642&doi=10.12659%2fAJCR.903990&partnerID=40&md5=29764b2f17197bfeb7b08fbd5d703cea,28669977,Hemophagocytic;  Lymphohistiocytosis;  Lymphoma;  Tuberculosis,NA,"antibiotic agent;  azithromycin;  CD3 antigen;  CD4 antigen;  CD5 antigen;  ceftriaxone;  cyclophosphamide;  Ki 67 antigen;  lactate dehydrogenase;  leukosialin;  piperacillin plus tazobactam;  protein bcl 2;  rasburicase;  vancomycin;  vincristine, acute kidney failure;  adult;  Article;  artificial ventilation;  autopsy;  bone marrow biopsy;  bronchoscopy;  cancer chemotherapy;  cancer growth;  case report;  cervical lymphadenopathy;  community acquired pneumonia;  computer assisted tomography;  cytopenia;  death;  diagnostic procedure;  differential diagnosis;  disease course;  disease severity;  dizziness;  Dominican Republic;  endobronchial ultrasonography;  female;  fever;  fiberoptic bronchoscopy;  hemodialysis;  hemophagocytic syndrome;  Hispanic;  hospital admission;  human;  human cell;  human tissue;  hypotension;  immunohistochemistry;  intensive care unit;  intubation;  lactate dehydrogenase blood level;  leukopenia;  lymph node biopsy;  lymph node dissection;  mediastinum lymphadenopathy;  middle aged;  Mycobacterium tuberculosis;  nonhuman;  pancytopenia;  real time polymerase chain reaction;  respiratory failure;  sepsis;  splenomegaly;  T cell lymphoma;  thorax radiography;  thrombocytopenia;  transbronchial aspiration;  transbronchial biopsy;  tuberculosis;  tumor lysis syndrome;  United States;  complication;  deterioration;  fatality;  hemophagocytic syndrome;  T cell lymphoma;  tuberculous lymphadenitis, Clinical Deterioration;  Fatal Outcome;  Female;  Humans;  Lymphohistiocytosis, Hemophagocytic;  Lymphoma, T-Cell;  Middle Aged;  Tuberculosis, Lymph Node",NA,"An unusual triad of hemophagocytic syndrome, lymphoma and tuberculosis in a non-HIV patient",0,"Background: Lymphoma complicated with hemophagocytic syndrome and tuberculosis has been rarely reported. The clinical and radiological presentation of these potentially fatal conditions can be easily confused and there is a potential for misdiagnosis. Case Report: We present a 58-year-old Hispanic female who was admitted to the hospital with dizziness and fever. Her initial admission diagnosis was severe sepsis secondary to community acquired pneumonia. She was started on intravenous antibiotics. Due to mediastinal lymphadenopathy, lymphoma was considered as a differential diagnosis for which she underwent bronchoscopy and endobronchial ultrasound-guided sampling of her mediastinal lymph nodes. Lymph node aspirate was suggestive of lymphoma. Initial cultures were negative. Her clinical course was complicated with respiratory failure, cytopenia, and rapidly progressive cervical lymphadenopathy. The patient underwent cervical lymph node excision and bone marrow biopsy. The pathology of the lymph nodes confirmed T cell lymphoma, and bone marrow revealed hemophagocytosis. The patient was started on chemotherapy but she continued to deteriorate and died on day 20 of her hospital admission. Post-mortem results of cultures from a cervical lymph node biopsy and PCR were positive for Mycobacterium tuberculosis. Conclusions: We suggest an aggressive tissue diagnosis with staining for acid-fast bacilli for early diagnosis in patients presenting with hemophagocytic syndrome secondary to lymphoma as coexisting tuberculosis is a consideration. Tuberculosis re-activation should be considered in patients from an endemic region who present with lymphoma and a deteriorating clinical condition.  Am J Case Rep, 2017."
645,"Oyedeji, G.J. and Adeyemo, C. and Dissou, A. and Abiodun, T. and Alli, O.A.T. and Onaolapo, O.J. and Onaolapo, A.Y. and Adesiji, Y. and Olowe, O.A.",Current Pharmaceutical Biotechnology,2020,Article,10.2174/1389201021666200226100242,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090613518&doi=10.2174%2f1389201021666200226100242&partnerID=40&md5=66c79a94dedc80fd723671620a8e7bbf,32101120,Antituberculous drugs;  Bacteria;  Chest Clinics;  GeneXpert;  Mycobacterium;  Pulmonology,NA,"ethambutol;  isoniazid;  rifampicin;  tuberculostatic agent;  tuberculostatic agent, acid fast bacterium;  adolescent;  adult;  Article;  bacterium isolate;  bacterium isolation;  controlled study;  cross-sectional study;  drug sensitivity;  female;  human;  Human immunodeficiency virus infection;  major clinical study;  male;  microscopy;  middle aged;  multidrug resistant tuberculosis;  nonhuman;  prevalence;  sputum;  AIDS related complex;  drug effect;  genetics;  isolation and purification;  microbial sensitivity test;  microbiology;  multidrug resistance;  multidrug resistant tuberculosis;  Mycobacterium tuberculosis;  Nigeria, Adult;  AIDS-Related Opportunistic Infections;  Antitubercular Agents;  Cross-Sectional Studies;  Drug Resistance, Multiple, Bacterial;  Female;  Humans;  Male;  Microbial Sensitivity Tests;  Mycobacterium tuberculosis;  Nigeria;  Prevalence;  Sputum;  Tuberculosis, Multidrug-Resistant",NA,"Prevalence of multi-drug resistant tuberculosis among tuberculosis patients attending chest clinics in Osun-state, Nigeria",0,"Background: The development of multidrug-resistant tuberculosis (MDR-TB) poses a con-siderable threat to tuberculosis control programmes in Nigeria. There is an increase in the prevalence of MDR-TB worldwide both among new tuberculosis cases as well as previously-treated ones. There is also a rise in transmission of resistant strains due to an increase in MDR-TB patients largely due to the poor drug compliance and the impact of Human immunodeficiency virus infection. Therefore, we in-tend to determine the extent of MDR-TB among attendees of chest clinics in Osun-State, Nigeria. Objectives: The objective of this study was to determine the prevalence of MDR-TB among confirmed tuberculosis patients attending chest clinics in Osun-State, Nigeria. Methods: This study was conducted among 207 attendees of chest clinics in Osun-State between June, 2015 and October 15, 2016. Sputum and blood samples of the participants were collected. GeneXpert test was carried out first on the samples for simultaneous identification of MTB and rifampicin re-sistance. Sputum samples were cultured on Lowenstein-Jensen (L-J) medium using N-acetyl-L-cysteine-sodium hydroxide (NALC-NaOH) decontamination method. Drug susceptibility testing (DST) to three first-line drugs was carried out using the proportion DST method. Results: The prevalence of MTB was found to be 27.5% while the prevalence of MDR-TB from the fifty-seven isolates was 10.5%. Previously treated and new cases had a prevalence of 7.0% and 3.5% MDR-TB, respectively. Seventy (33.8%) participants were positive for HIV infection, out of which twenty-six (12.6%) had co-infection of tuberculosis and HIV. The mono-resistance rates of the three first-line drugs used were: 5.3% and 8.7% for ethambutol (EMB) and isoniazid (INH), respectively. No isolate had mono-resistance (0%) to rifampicin (RIF). Conclusion: This study observed the prevalence of 27.5% MTB and a prevalence of 10.5% MDR-TB among the MTB isolates. The prevalence of TB is high in Osun State. MDR-TB prevalence is higher compared with the national estimate of MDR-TB (5.1%) of 2017. Resistant TB is a threat to national tuberculosis control and it is recommended that all the facilities be equipped to cater to its diagnosis.  2020 Bentham Science Publishers."
646,"Agarwal, M. and Patnaik, G. and Sanghvi, K. and Anand, A.R. and Janani, M.K. and Biswas, J.",Ocular Immunology and Inflammation,2020,Article,10.1080/09273948.2020.1770299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087751174&doi=10.1080%2f09273948.2020.1770299&partnerID=40&md5=383d1b9662890aa68e2c65ff7920b5f2,32634063,Histopathology;  Mycobacterium tuberculosis;  nocardia;  polymerase chain reaction;  scleritis,NA,"amikacin;  cefazolin;  cefotaxime;  cefuroxime;  chloramphenicol;  ciprofloxacin;  cotrimoxazole;  gatifloxacin;  gentamicin;  indometacin;  moxifloxacin;  norfloxacin;  ofloxacin;  prednisolone;  RNA 16S;  tobramycin;  tuberculostatic agent, abscess;  adult;  antibiotic resistance;  antibiotic sensitivity;  Article;  bacterial growth;  bacterium culture;  blood culture;  case report;  clinical article;  conjunctival hyperemia;  disk diffusion;  DNA sequencing;  drug dose reduction;  eye biopsy;  eye pain;  eye redness;  eye swelling;  gene sequence;  Gram staining;  granulomatous inflammation;  histopathology;  human;  human tissue;  male;  microbiological examination;  Mycobacterium tuberculosis;  Nocardia;  Nocardia cyriacigeorgica;  nocardiosis;  ocular tuberculosis;  polymerase chain reaction;  real time polymerase chain reaction;  scleritis;  slit lamp microscopy;  steroid therapy;  surgical debridement;  treatment response",NA,"Clinicopathological, Microbiological and Polymerase Chain Reaction Study in a Case of Nocardia Scleritis",0,"Purpose: To describe the clinicopathological, microbiological and polymerase chain reaction (PCR) study in a case of Nocardia scleritis. Methods: A retrospective chart review. Results: A 32-year old male presented with pain, redness and nodular scleral swelling in the left eye for the past two and a half months following an accidental rice powder injury. He was earlier diagnosed to have tubercular scleritis and treated with oral steroids and anti-tubercular therapy. A repeat scleral biopsy on histopathological examination showed granulomatous inflammation. Microbiological investigations revealed the growth of Gram +ve branching filamentous bacilli in culture suggestive of Nocardia sp. PCR based DNA sequencing identified the bacterium as Nocardia cyriacigeorgica. The patient responded to topical fortified amikacin (2.5%), fortified cefuroxime, oral sulfamethoxazole and trimethoprim with complete healing of scleritis. Conclusions: Nocardia scleritis can be a diagnostic challenge for clinicians. Newer molecular techniques along with histopathological and microbiological investigations can clinch the diagnosis.  2020,  2020 Taylor & Francis Group, LLC."
647,"Bondarenko, A.V. and Katsapov, D.V. and Gavrylov, A.V. and Didova, T.V. and Nahornyi, I.A.","Wiadomosci lekarskie (Warsaw, Poland : 1960)",2020,Article,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083072260&partnerID=40&md5=0ff373b9e6d3f55551267a0ad00822cb,32248160,blood-brain barrier;  cerebral toxoplasmosis;  CNSToxoIndex;  HIV-infection;  immunodiagnostics,NA,"immunoglobulin M;  protozoon antibody, adult;  blood brain barrier;  cerebral toxoplasmosis;  China;  female;  human;  male;  middle aged;  permeability;  retrospective study, Adult;  Antibodies, Protozoan;  Blood-Brain Barrier;  China;  Female;  Humans;  Immunoglobulin M;  Male;  Middle Aged;  Permeability;  Retrospective Studies;  Toxoplasmosis, Cerebral",NA,Immunodiagnostics of cerebral toxoplasmosis depending on permeability of blood-brain barrier,0,"OBJECTIVE: The aim of the work was to detect a diagnostic value of CNSToxoIndex - index of correlation between albumin concentration and anti-toxoplasma antibodies, which reflects local production of anti-toxoplasma IgG in CNS compared with their level in blood. PATIENTS AND METHODS: Materials and methods: 30 HIV-infected persons with the IV clinical stage (16 man and 14 women) aged from 25 to 49 years with clinical and instrumental signs of cerebral toxoplasmosis were selected from the general array of the patients treated in the Regional Clinical Infectious Hospital. A retrospective parallel detection of IgG T. gondii was performed in serum and CSF in patients, whose results of ELISA or PCR on T. gondii were positive. Blood serum and CSF were obtained from patients at the same time. All samples for analysis were stored at -20 C and then tested on the RT-2100C Rayto Life and Analytical Sciences Co., Ltd (China) immunoassay analyser for quantitative detection of the level of specific anti-Toxicoplasma IgG. Detection of albumin concentration in serum and CSF was performed on the Chemray-120 Automated Biochemical Analyzer Rayto Life and Analytical Sciences Co., Ltd (China) using the Liquick Cor-ALBUMIN Diagnostic Kit. RESULTS: Results: Specific IgG to T. gondii in blood plasma was found in 27 patients (90%) while in CSF only in 7 (23 %). The results of the research in this group of patients were represented by the following parameters: patient 1 (blood antiToxo IgG - 200 IU/ml, blood albumin - 36 g/l, CSF antiToxo IgG - 10 IU/ml, CSF albumin - 0.8 g/l, CNSToxolndex - 2.3); patient 2 (150 / 40 / 90 / 0.7 / 34.3, respectively); patient 3 (90 / 35 / 64 / 0.25 / 99.6); patient 4 (140 / 39/ 10/ 0.19/ 14.7); patient 5 (88 / 52 / 48 / 0.21 / 135.1); patient 6 (160 / 48 / 50 /0.15 / 100.0); patient 7 (122 / 42 / 15 / 0.17 / 30.4). Consequently, taking into consideration the diagnostic marker CNSToxolndex more than 10.0, cerebral toxoplasmosis was diagnosed only in six patients from seven, in whom anti-toxoplasma antibodies in CSF were detected. Patient 1, despite clinical symptoms similar to cerebral toxoplasmosis, and substitute signs of cerebral toxoplasmosis detected with the help of neuroimaging methods (volumetric formation of the right frontal lobe with a ring-shaped enhancement), availability of specific anti-toxoplasma antibodies in blood serum and CSF, diagnosis of cerebral toxoplasmosis has not been confirmed. M. tuberculosis DNA was found in CSF by PCR. CONCLUSION: Conclusions: CNSToxoIndex allows evaluating the local production of anti-toxoplasmic IgG in CNS and their diffusion from blood as a result of the blood-brain barrier damageand it is a powerful method of cerebral toxoplasmosis diagnostics in HIV-positive people as well."
648,"Masawa, N. and Bani, F. and Ndege, R.",Praxis,2019,Review,10.1024/1661-8157/a003355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075677839&doi=10.1024%2f1661-8157%2fa003355&partnerID=40&md5=a1ef26afed861dffff6b40be7a9b3202,31771490,Extrapulmonary tuberculosis;  Focused assessment with sonography for HIV-associated tuberculosis (FASH);  Tanzania;  Tuberculosis;  Xpert MTB/RIF,NA,"efavirenz plus lamivudine plus tenofovir disoproxil;  ethambutol;  isoniazid;  lipoarabinomannan;  pyrazinamide;  rifampicin, adult;  Africa south of the Sahara;  antibiotic sensitivity;  blood pressure measurement;  case report;  clinical article;  clinical examination;  coughing;  crackle;  diagnostic procedure;  digital clubbing;  disease severity;  dyspnea;  echography;  extrapulmonary tuberculosis;  fever;  Glasgow coma scale;  hemoptysis;  hilar adenopathy;  hospital admission;  human;  human cell;  Human immunodeficiency virus infection;  hypotension;  interstitial lung disease;  lung lesion;  lymphadenopathy;  male;  microbiological examination;  miliary tuberculosis;  multidrug resistant tuberculosis;  Pneumocystis pneumonia;  pneumonia;  respiratory tract examination;  Review;  rural area;  screening test;  smoking;  sputum analysis;  sputum culture;  sputum cytodiagnosis;  thorax radiography;  tuberculosis;  child;  diagnostic test;  isolation and purification;  Mycobacterium tuberculosis;  sensitivity and specificity;  Tanzania;  tuberculosis;  Africa;  Article;  extrapulmonary tuberculosis;  loop mediated isothermal amplification;  diagnostic accuracy;  predictive value;  screening;  tuberculosis;  World Health Organization, Adult;  Child;  Diagnostic Tests, Routine;  Humans;  Mycobacterium tuberculosis;  Sensitivity and Specificity;  Tanzania;  Tuberculosis",NA,Tuberculosis: Diagnostic challenges in rural Africa [Tuberkulose: Diagnostische Herausforderungen im lndlichen Afrika],0,"Tuberculosis (TB) remains among the top 10 infectious diseases with highest mortality globally since the 1990s despite effective chemotherapy. Among 10 million patients that fell ill with tuberculosis in the year 2017, 36 % were undiagnosed or detected and not reported; the number goes as high as 55 % in Tanzania, showing that the diagnosis of TB is a big challenge in the developing countries. There have been great advancements in TB diagnostics with introduction of the molecular tests such as Xpert MTB/RIF, loop-mediated isothermal amplification, lipoarabinomannan urine strip test, and molecular line-probe assays. However, most of the hospitals in Tanzania still rely on the TB score chart in children, the WHO screening questions in adults, acid-fast bacilli and chest x-ray for the diagnosis of TB. Xpert MTB/RIF has been rolled-out but remains a challenge in settings where the samples for testing must be transported over many kilometers. Imaging by sonography - nowadays widely available even in rural settings of Tanzania - has been shown to be a useful tool in the diagnosis of extrapulmonary tuberculosis. Despite all the efforts and new diagnostics, 30-50 % of patients in high-burden TB countries are still empirically treated for tuberculosis. More efforts need to be placed if we are to reduce the death toll by 90 % until 2030.  2019 Hogrefe."
